"Time of Day","Process Name","PID","Operation","Path","Result","Detail","Date & Time","Relative Time","Duration","Completion Time","Event Class","Sequence","Image Path","User","Category","Parent PID","Architecture"
"2:38:58.1135823 PM","lsass.exe","1116","QueryNameInformationFile","C:\Users\user\Desktop\Procmon64.exe","SUCCESS","Name: \Users\user\Desktop\Procmon64.exe","5/3/2023 2:38:58 PM","00:00:00.0006048","0.0000057","2:38:58.1135880 PM","File System","n/a","C:\Windows\system32\lsass.exe","NT AUTHORITY\SYSTEM","Read Metadata","980","64-bit"
"2:38:58.1138075 PM","lsass.exe","1116","QueryNameInformationFile","C:\Users\user\Desktop\Procmon64.exe","SUCCESS","Name: \Users\user\Desktop\Procmon64.exe","5/3/2023 2:38:58 PM","00:00:00.0008300","0.0000042","2:38:58.1138117 PM","File System","n/a","C:\Windows\system32\lsass.exe","NT AUTHORITY\SYSTEM","Read Metadata","980","64-bit"
